id,created_at,game_week,home_team,away_team,home_team_score,away_team_score
4,2024-03-21 20:48:45.110848+00,1,6,13,1,1
6,2024-03-21 20:49:11.802787+00,1,3,19,1,1
20,2024-03-30 19:30:47.820184+00,2,19,7,3,1
7,2024-03-21 20:49:29.329068+00,1,5,12,4,1
8,2024-03-21 20:50:10.666922+00,1,9,10,0,1
9,2024-03-21 20:50:26.80199+00,1,17,8,0,1
10,2024-03-21 20:50:43.78662+00,1,15,2,5,1
11,2024-03-21 20:50:59.36941+00,1,4,18,2,2
24,2024-03-30 19:32:33.038174+00,2,13,15,1,1
15,2024-03-30 19:30:47.820184+00,2,10,4,0,3
17,2024-03-30 19:30:47.820184+00,2,20,5,1,4
19,2024-03-30 19:30:47.820184+00,2,2,9,4,0
22,2024-03-30 19:30:47.820184+00,2,12,6,1,2
21,2024-03-30 19:30:47.820184+00,2,8,1,0,1
12,2024-03-21 20:51:15.909949+00,1,7,11,1,1
5,2024-03-21 20:48:57.794643+00,1,1,16,3,1
18,2024-03-30 19:30:47.820184+00,2,18,14,2,0
13,2024-03-21 20:51:36.241886+00,1,14,20,1,3
14,2024-03-30 19:30:47.820184+00,2,16,17,2,1
16,2024-03-30 19:30:47.820184+00,2,11,3,2,0
